Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.01
0.50,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.00,0.00,0.01,0.00,0.01,0.01,0.02,0.03,0.02,0.02,0.02,0.02,0.00,0.00,0.00,0.01,0.01,0.01,,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.03,0.02,0.03,0.02,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.02
0.75,0.03,0.02,0.03,0.03,0.03,0.03,0.05,0.03,0.02,0.02,0.02,0.02,0.00,0.00,0.01,0.00,0.01,0.02,0.03,0.04,0.03,0.03,0.03,0.02,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.05,0.05,0.05,0.03,0.04,0.03,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.03,0.03,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.03,0.03
1.00,0.03,0.03,0.03,0.04,0.04,0.04,0.06,0.04,0.03,0.02,0.03,0.02,0.00,0.00,0.01,0.00,0.02,0.03,0.05,0.05,0.04,0.03,0.03,0.03,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.06,0.06,0.06,0.04,0.05,0.04,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.04,0.03,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.04,0.04
1.25,0.04,0.04,0.04,0.05,0.05,0.05,0.08,0.05,0.04,0.03,0.03,0.03,0.00,0.00,0.01,0.00,0.03,0.04,0.07,0.06,0.05,0.04,0.05,0.04,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.04,0.04,0.05,0.06,0.06,0.05,0.05,0.06,0.07,0.07,0.07,0.05,0.06,0.06,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.02,0.03,0.06,0.05,0.03,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.02,0.05,0.05
1.50,0.05,0.05,0.05,0.06,0.05,0.06,0.09,0.06,0.05,0.04,0.04,0.04,0.00,0.00,0.01,0.00,0.04,0.04,0.09,0.08,0.06,0.05,0.06,0.05,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.02,0.05,0.05,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.02,0.03,0.08,0.06,0.04,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.04,0.06,0.06
1.75,0.06,0.06,0.07,0.07,0.06,0.07,0.09,0.07,0.06,0.05,0.06,0.05,0.00,0.00,0.01,0.00,0.05,0.04,0.10,0.08,0.07,0.07,0.07,0.06,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.02,0.06,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.09,0.07,0.08,0.08,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.02,0.04,0.09,0.07,0.04,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.01,0.05,0.07,0.08
2.00,0.06,0.07,0.07,0.07,0.07,0.08,0.10,0.08,0.06,0.06,0.06,0.06,0.00,0.00,0.01,0.00,0.06,0.05,0.10,0.09,0.08,0.08,0.08,0.07,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.03,0.07,0.07,0.08,0.08,0.09,0.08,0.09,0.08,0.09,0.09,0.09,0.08,0.09,0.08,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.03,0.04,0.10,0.08,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.08,0.09
2.25,0.07,0.08,0.08,0.08,0.08,0.08,0.11,0.08,0.07,0.07,0.07,0.06,0.00,0.00,0.01,0.00,0.07,0.05,0.11,0.09,0.09,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.04,0.07,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.10,0.09,0.10,0.09,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.03,0.05,0.10,0.09,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.10
